产品线,抖音小程序,编写人,冯心敏,版本,V1.0.0,测试时间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
编号,模块,功能点,预置条件,操作步骤,预期结果,用例等级,测试结果,备注,是否可以给AI执行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_1,小程序入口,从微信小程序的入口进入小程序,1、已启动微信,"1、点击微信进入到首页
2、下滑点击搜索
3、输入喜马拉雅
4、点击喜马拉雅","1、跳转至小程序首页
",P0,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_2,页面定制,首页定制检查,1、后台已配置首页,"1、进入小程序首页
2、查看首页组成元素","1、从上至下依次为：
1）、搜索栏+搜索按钮
2）、内容分类tab栏
3）、广告banner
4）、排行榜tab栏
5）、听单1：亲子乐园
6）、听单2：热门推荐+换一批按钮
7）、听单3：猜你喜欢
",P0,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_3,vip频道页面检查,1、后台已配置vip频道,"1、进入小程序首页
2、点击底部tab栏“vip频道”","1、从上至下依次为：
1）、个人信息栏
2）、排行榜
3）、专辑分类tab栏
",,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_4,精品页面检查,1、后台已配置精品页面,"1、进入小程序首页
2、点击底部tab栏“精品”","1、从上至下依次为：
1）、专辑分类栏
2）、排行榜
3）、明星名家大咖墙
4）、为你推荐
",,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_5,登录,未登录状态页面展示,1、已启动微信,1、通过微信小程序小程序图标进入首页,"1、展示未登录时的页面，页面元素包括：
1）、搜索栏+搜索按钮
2）、内容分类tab栏
3）、广告banner
4）、登录小黄条
5）、排行榜tab栏
6）、听单1：亲子乐园
7）、听单2：热门推荐+换一批按钮
8）、听单3：猜你喜欢",P0,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_6,微信授权登录,1、处于登录页面,"1、勾选《用户服务协议》和《隐私协议》协议一栏
2、登录页面选择“微信账号登录”
","1、已注册的账号直接登录
2、未注册的账号，以该微信号自动完成注册，并登录
3、登录成功后，同步账号信息",P0,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_7,手机验证码登录,1、处于登录页面,"1、勾选《用户服务协议》和《隐私协议》协议一栏
2、登录页面选择“验证码登录”
3、输入手机号“13000000075”
4、点击获取验证码
5、输入验证码“111111”
6、点击登录按钮","1、安全验证完成后，可收到验证码
2、已注册的账号直接登录
3、未注册的账号，以该手机号自动完成注册，并登录
4、登录成功后，同步账号信息",P0,,有验证码安全验证操作，AI无法执行,❌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_8,密码登录,1、处于登录页面,"1、勾选《用户服务协议》和《隐私协议》协议一栏
2、登录页面选择“验证码登录”
3、输入手机号“13549410783”
4、输入密码“Aa13549410783”
5、点击登录按钮","1、安全验证完成后
2、已注册的账号直接登录
3、未注册的账号提示“您输入的账号名无效，请重新输入”
4、登录成功后，同步账号信息",,,有验证码安全验证操作，AI无法执行,❌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_9,已登录状态账号详情,1、账号已登录,"1、点击【我的】，进入账号详情页
2、非vip账号显示“加入会员，畅听好书好课”小黄条，vip账号不显示
2、分别点击tab栏的“订阅”、“喜欢”、“已购”、“历史”
","1、头像（vip账号头像右下角有vip标识，非vip账号没有）
2、分别点击tab“订阅”、“喜欢”、“已购”、“历史”后，下方内容切换对应的内容
",P0,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_10,登录状态保留,1、账号已登录,1、账号未退出状态下，重进微信小程序,"1、保留登录状态
2、最近播放仍显示退出页面前的记录",P0,,需要告知AI重启小程序的操作,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_11,退出登录,1、账号已登录,"1、点击右上角的设置按钮进入设置页面
2、点击切换账号跳转到登录页，点击两下左上角返回按钮返回到个人详情页",1、账号退出登录状态，页面更新为未登录页面,P0,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_12,播放,免费音频播放,1、账号已登录,"1、首页点击免费专辑“摸金天师【第一季】（紫襟演播）”进入专辑详情页
2、点击免费音频“《摸金天师》第001章 百辟刀”",1、正常跳转播放页，正常播放音频,P0,,需要跟AI描述正常播放的状态，应该依靠页面什么元素变化来判断,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_13,1、账号未登录,"1、首页点击免费专辑“摸金天师【第一季】（紫襟演播）”进入专辑详情页
2、点击免费音频“《摸金天师》第001章 百辟刀”",1、正常跳转播放页，正常播放音频,P0,,需要跟AI描述正常播放的状态，应该依靠页面什么元素变化来判断,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_14,试听音频播放,1、非VIP账号已登录,"1、首页点击vip专辑“大奉打更人|头陀渊领衔多有有声剧|畅听全集|...”进入专辑详情页
2、专辑详情页中点击有试听标识的音频",1、正常跳转，可播放,P0,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_15,1、账号未登录,"1、首页点击vip专辑“大奉打更人|头陀渊领衔多有有声剧|畅听全集|...”进入专辑详情页
2、专辑详情页中点击有试听标识的音频",1、正常跳转，可播放,P0,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_16,纯VIP专辑播放,1、VIP账号已登录,"1、首页点击搜索框搜索68117318
2、点击“专辑”tab栏
3、点击“《哈利波特》1-7部精品中文有声书全集|J.K.罗琳原著，光合积木演播”进入专辑详情页
4、向下寻找有vip标识的一个音频并点击",1、正常跳转，可播放,P0,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_17, 1、非VIP账号已登录,"1、点击vip音频后弹出vip的sku半浮层
2、点击“立即购买”按钮后跳转到订单页
3、点击“更多套餐”后跳转到会员页",P0,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_18,1、账号未登录,1、跳转至登录页面,P0,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_19,既是vip又是单集购买专辑播放,1、VIP账号已登录,"1、首页点击搜索框输入“49808826”并点击“AI搜索”按钮
2、点击“专辑”tab栏
3、点击第一个专辑进入专辑详情页
4、向下寻找有vip标识的一个音频并点击",1、正常跳转，可播放,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_20, 1、非VIP账号已登录,"1、点击vip音频后弹出选择购买方式的半浮层
2、选择“全集vip免费听”，点击“立即购买”按钮后会弹出vip的sku半浮层
3、选择“本集0.15元”，点击“立即购买”按钮后跳转到订单页",,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_21,1、账号未登录,1、跳转至登录页面,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_22,既是vip又是整集购买专辑播放,1、VIP账号已登录,"1、首页点击搜索框输入“62740698”并点击“AI搜索”按钮
2、点击“专辑”tab栏
3、点击第一个专辑进入专辑详情页
4、向下寻找有vip标识的一个音频并点击",1、正常跳转，可播放,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_23, 1、非VIP账号已登录,"1、点击vip音频后弹出选择购买方式的半浮层
2、点击“整张专辑”，跳转到订单页
3、点击“购vip畅听”，后会弹出vip的sku半浮层",,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_24,1、账号未登录,1、跳转至登录页面,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_25,纯单购专辑播放,1、VIP账号已登录,"1、首页点击搜索框输入“81109538”并点击“AI搜索”按钮
2、点击“专辑”tab栏
3、点击第一个专辑进入专辑详情页
4、向下寻找有付费标识的一个音频并点击",1、点击“整张专辑”后跳到订单页,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_26, 1、非VIP账号已登录,1、点击“整张专辑”后跳到订单页,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_27,1、账号未登录,1、跳转至登录页面,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_28,纯单集购买专辑播放,1、VIP账号已登录,"1、首页点击搜索框输入“15828621”并点击“AI搜索”按钮
2、点击“专辑”tab栏
3、点击第一个专辑进入专辑详情页
4、向下寻找有付费标识的一个音频并点击",1、选择“本集0.15元”，点击立即购买跳转到订单页,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_29, 1、非VIP账号已登录,1、选择“本集0.15元”，点击立即购买跳转到订单页,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_30,1、账号未登录,1、跳转至登录页面,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_31,纯儿童vip专辑,1、VIP账号已登录,"1、首页点击搜索框输入“44417606”并点击“AI搜索”按钮
2、点击“专辑”tab栏
3、点击第一个专辑进入专辑详情页
4、向下寻找有vip标识的一个音频并点击","1、点击儿童vip音频后弹出儿童vip的sku半浮层
2、点击“立即购买”按钮后跳转到订单页
3、点击“更多套餐”后跳转到会员页",,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_32, 1、非VIP账号已登录,"1、点击儿童vip音频后弹出儿童vip的sku半浮层
2、点击“立即购买”按钮后跳转到订单页
3、点击“更多套餐”后跳转到会员页",,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_33,1、账号未登录,1、跳转至登录页面,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_34,既是儿童vip又是单集购买专辑播放,1、VIP账号已登录,"1、首页点击搜索框输入“52125191”并点击“AI搜索”按钮
2、点击“专辑”tab栏
3、点击第一个专辑进入专辑详情页
4、向下寻找有vip标识的一个音频并点击","1、点击儿童vip音频后弹出选择购买方式的半浮层
2、选择“全集vip免费听”，点击“立即购买”按钮后会弹出儿童vip的sku半浮层
3、选择“本集0.2元”，点击“立即购买”按钮后跳转到订单页",,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_35, 1、非VIP账号已登录,"1、点击儿童vip音频后弹出选择购买方式的半浮层
2、选择“全集vip免费听”，点击“立即购买”按钮后会弹出儿童vip的sku半浮层
3、选择“本集0.2元”，点击“立即购买”按钮后跳转到订单页",,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_36,1、账号未登录,1、跳转至登录页面,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_37,"既是儿童vip又是整集购买专辑播放

",1、VIP账号已登录,"1、首页点击搜索框输入“81517466”并点击“AI搜索”按钮
2、点击“专辑”tab栏
3、点击第一个专辑进入专辑详情页
4、向下寻找有vip标识的一个音频并点击","1、点击vip音频后弹出选择购买方式的半浮层
2、点击“整张专辑”，跳转到订单页
3、点击“购vip畅听”，后会弹出vip的sku半浮层""",,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_38, 1、非VIP账号已登录,"1、点击vip音频后弹出选择购买方式的半浮层
2、点击“整张专辑”，跳转到订单页
3、点击“购vip畅听”，后会弹出vip的sku半浮层""",,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_39,1、账号未登录,1、跳转至登录页面,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_40,播放信息,1、处于播放器页面,1、检查播放信息,"1、展示专辑封面
2、展示音频名称
3、展示音频列表按钮，点击可弹出音频列表半浮层",P0,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_41,播放控制,1、处于播放器页面,1、操作：播放/暂停、上一曲、下一曲,1、正确响应,P0,,需要补全每个操作后的状态变化，让AI可以判定用例是否成功,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_42,进度控制,1、处于播放器页面,"1、播放时观察进度条
2、拖动进度条","1、进度显示与播放进度匹配
2、拖动进度条等同于调整播放进度",P0,,拖拽行为AI还不支持,❌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_43,声音输出,1、处于播放器页面,1、播放进行中,"1、声音正常输出，音量调节可生效
2、声音播放流畅无卡顿",P0,,脱离视觉的测试，不适用,❌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_44,支付,功能入口,1、处于个人中心页面,"1、非VIP账号点击“加入vip会员，畅听好书好课”小黄条
2、VIP账号点击“您已开通vip，点击可续费”小黄条","1、跳转至会员页
2、SKU列表由运营自行确认，与后台配置一致",P0,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_45,非VIP会员购买,1、处于会员页,"1、进入个人中心，点击“加入vip会员，畅听好书好课”小黄条
2、非VIP账号购买1个月会员（或1年）",1、拉起支付,P0,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeChat_Mini_Program_Basic_46,VIP会员续费,1、处于会员页,"1、进入个人中心，点击“您已开通vip，点击可续费”小黄条
2、VIP账号购买1个月会员（或1年）","1、拉起支付
",P0,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
